descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
vdc_color,KMeans,norm,29,{'n_clusters': 29},1227.0885833504058,4.604409952015338
vdc_color,KMeans,norm,30,{'n_clusters': 30},1210.6086608931598,4.5823216660333825
vdc_color,KMeans,standard,2,{'n_clusters': 2},1743.521944840929,10.509423806218424
vdc_color,KMeans,standard,3,{'n_clusters': 3},1331.600573782336,8.363429395179054
vdc_color,KMeans,standard,4,{'n_clusters': 4},1516.2452171102952,8.304587460616458
vdc_color,KMeans,standard,5,{'n_clusters': 5},1455.1822997080492,7.327527025461158
vdc_color,KMeans,standard,6,{'n_clusters': 6},1474.2336149324633,6.822995776232513
vdc_color,KMeans,standard,7,{'n_clusters': 7},1468.2219534377236,6.539899345682022
vdc_color,KMeans,standard,8,{'n_clusters': 8},1341.3044347907182,6.413880652564947
vdc_color,KMeans,standard,9,{'n_clusters': 9},1373.267924613571,6.16129338909283
vdc_color,KMeans,standard,10,{'n_clusters': 10},1304.9370058231418,5.8715132561063585
vdc_color,KMeans,standard,11,{'n_clusters': 11},1325.5934244761154,5.800522191268875
vdc_color,KMeans,standard,12,{'n_clusters': 12},1254.068073108754,5.649478267353319
vdc_color,KMeans,standard,13,{'n_clusters': 13},1182.4378340502867,5.424327477408097
vdc_color,KMeans,standard,14,{'n_clusters': 14},1227.3465128580597,5.526318240784293
vdc_color,KMeans,standard,15,{'n_clusters': 15},1183.3940934722277,5.443910593817251
vdc_color,KMeans,standard,16,{'n_clusters': 16},1112.1282605526787,5.215259270455929
vdc_color,KMeans,standard,17,{'n_clusters': 17},1034.4034942544074,4.8900406330107264
vdc_color,KMeans,standard,18,{'n_clusters': 18},1064.1798672186083,5.071540515648713
vdc_color,KMeans,standard,19,{'n_clusters': 19},1100.7226558697369,5.156296523929183
vdc_color,KMeans,standard,20,{'n_clusters': 20},1023.552769778298,4.89473286151562
vdc_color,KMeans,standard,21,{'n_clusters': 21},1050.678093878323,5.012176358000407
vdc_color,KMeans,standard,22,{'n_clusters': 22},1027.5164569376318,5.007197099291746
vdc_color,KMeans,standard,23,{'n_clusters': 23},965.0331955679709,4.792936051464089
vdc_color,KMeans,standard,24,{'n_clusters': 24},992.0718898122378,4.911532156975292
vdc_color,KMeans,standard,25,{'n_clusters': 25},955.1055567010557,4.818572065994828
vdc_color,KMeans,standard,26,{'n_clusters': 26},953.5159078814414,4.802121989023215
vdc_color,KMeans,standard,27,{'n_clusters': 27},898.2374735942261,4.642884558091522
vdc_color,KMeans,standard,28,{'n_clusters': 28},894.9758091562138,4.716878904099611
vdc_color,KMeans,standard,29,{'n_clusters': 29},896.7697118095472,4.828453940531815
vdc_color,KMeans,standard,30,{'n_clusters': 30},853.4702426092709,4.490543742064392
vdc_color,AgglomerativeClustering,norm,2,{'n_clusters': 2},5.620887412793384,0.4155273335807869
vdc_color,AgglomerativeClustering,norm,3,{'n_clusters': 3},5.355804639935749,0.4295976734175837
vdc_color,AgglomerativeClustering,norm,4,{'n_clusters': 4},5.204190468879089,0.43554480332985296
vdc_color,AgglomerativeClustering,norm,5,{'n_clusters': 5},5.111425973017694,0.4386839179583754
