descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
vdc_color,AgglomerativeClustering,standard,29,4.544346091696126,0.5067432244889488
vdc_color,AgglomerativeClustering,standard,30,4.533037274279977,0.5058321464756746
vdc_type,KMeans,norm,2,4437.906398570805,6.6882585363586555
vdc_type,KMeans,norm,3,2985.906625547478,6.97565492308043
vdc_type,KMeans,norm,4,2449.8537465329428,7.066823479747944
vdc_type,KMeans,norm,5,2250.572627365278,6.750940911042948
vdc_type,KMeans,norm,6,2118.794935652872,6.640219933797808
vdc_type,KMeans,norm,7,1911.1138776517291,6.182007267478236
vdc_type,KMeans,norm,8,1829.150858776105,6.240155997292494
vdc_type,KMeans,norm,9,1708.7310579492228,5.958920173220937
vdc_type,KMeans,norm,10,1625.33532866045,5.903579198546252
vdc_type,KMeans,norm,11,1585.4817994100194,5.813457950944031
vdc_type,KMeans,norm,12,1475.512295640148,5.427385719898684
vdc_type,KMeans,norm,13,1454.8571592421447,5.293805073878226
vdc_type,KMeans,norm,14,1428.9063924547345,5.202198534810676
vdc_type,KMeans,norm,15,1399.139090749416,5.271884367368143
vdc_type,KMeans,norm,16,1325.4099339764598,5.386147819974336
vdc_type,KMeans,norm,17,1303.858007085022,4.972378109838377
vdc_type,KMeans,norm,18,1291.9397089431857,4.9687705156019035
vdc_type,KMeans,norm,19,1246.243577604418,5.000805518024984
vdc_type,KMeans,norm,20,1209.0329022953044,4.936091740081195
vdc_type,KMeans,norm,21,1178.9852388514632,4.8073721304260335
vdc_type,KMeans,norm,22,1176.8179580215824,4.7934681310279466
vdc_type,KMeans,norm,23,1153.8430843183032,4.671566004578572
vdc_type,KMeans,norm,24,1128.4509667717064,4.783470154425699
vdc_type,KMeans,norm,25,1125.0325419945302,4.68311032659959
vdc_type,KMeans,norm,26,1101.1832056424196,4.6190567797825715
vdc_type,KMeans,norm,27,1092.0817679675904,4.576530261649901
vdc_type,KMeans,norm,28,1048.0180351926697,4.694484950665837
vdc_type,KMeans,norm,29,1016.9261659406147,4.4613044043615755
vdc_type,KMeans,norm,30,1025.550815057861,4.504271440333709
vdc_type,KMeans,standard,2,1134.285308248472,6.894005564004846
vdc_type,KMeans,standard,3,1092.4608258896726,6.962355637213849
vdc_type,KMeans,standard,4,1119.483275865708,9.56981135437799
vdc_type,KMeans,standard,5,1086.1677747126885,7.9415530407658865
vdc_type,KMeans,standard,6,1107.5673169770505,7.502399971978882
vdc_type,KMeans,standard,7,1121.6653137696953,7.1025592362163446
